Name;Type;Height;Length;Width;Price;InStock;Image;ImageOnInspect
Cuddly Cat;Plush;30;20;15;19.99;100;images/cat_re.jpg;images/cat.jpg
Focused Eagle;Plush;18;10;10;23.99;100;images/eagle_re.jpg;images/eagle.jpg
Snuggly Sloth;Plush;25;18;12;16.99;100;images/sloth_re.jpg;images/sloth.jpg
Cozy Koala;Plush;28;22;16;22.99;100;images/koala_re.jpg;images/koala.jpg
Happy Hedgehog;Plush;20;15;10;14.99;100;images/hedgehog_re.jpg;images/hedgehog.jpg
Dreamy Dolphin;Plush;35;25;20;29.99;100;images/delphine_re.jpg;images/delphine.jpg
Fuzzy Fox;Plush;27;18;14;18.99;100;images/fox_re.jpg;images/fox.jpg
Giggly Giraffe;Plush;40;30;25;34.99;100;images/giraffe_re.jpg;images/giraffe.jpg
Lovely Lion;Plush;35;28;20;26.99;100;images/lion_re.jpg;images/lion.jpg
Cheery Chick;Plush;15;12;10;12.99;100;images/chicken_re.jpg;images/chicken.jpg
Pawsome Panda;Plush;32;24;18;24.99;100;images/panda_re.jpg;images/panda.jpg
Red Panda;Plush;32;24;18;24.99;100;images/redpanda_re.jpg;images/redpanda.jpg
Fluffy Bunny;Plush;25;20;15;19.99;100;images/bunny_re.jpg;images/bunny.jpg
Silly Seal;Plush;30;22;18;21.99;100;images/seal_re.jpg;images/seal.jpg
Whiskered Walrus;Plush;28;20;16;22.99;100;images/walrus_re.jpg;images/walrus.jpg
Adorable Alpaca;Plush;35;28;22;27.99;100;images/alpaka_re.jpg;images/alpaka.jpg
Cute Corgi;Plush;25;20;15;19.99;100;images/corgi_re.jpg;images/corgi.jpg
Dazzling Deer;Plush;35;30;25;29.99;100;images/deer_re.jpg;images/deer.jpg
Marvelous Meerkat;Plush;25;20;18;20.99;100;images/meerkat_re.jpg;images/meerkat.jpg
Happy Hippo;Plush;32;24;18;26.99;100;images/hippo_re.jpg;images/hippo.jpg
Fluffy Ferret;Plush;22;18;14;17.99;100;images/ferret_re.jpg;images/ferret.jpg
Playful Penguin;Plush;28;20;15;23.99;100;images/penguin_re.jpg;images/penguin.jpg
Sunny Squirrel;Plush;24;18;12;20.99;100;images/squirrel_re.jpg;images/squirrel.jpg
Dizzy Duck;Plush;30;22;18;21.99;100;images/duck_re.jpg;images/duck.jpg
Bouncy Bear;Plush;35;28;20;29.99;100;images/bear_re.jpg;images/bear.jpg
Gleeful Gorilla;Plush;40;30;25;34.99;100;images/gorilla_re.jpg;images/gorilla.jpg
Silly Snake;Plush;18;12;10;13.99;100;images/snake_re.jpg;images/snake.jpg
Happy Hamster;Plush;20;15;10;14.99;100;images/hamster_re.jpg;images/hamster.jpg
Pilly Panther;Plush;35;25;20;29.99;100;images/panther_re.jpg;images/panther.jpg
Cuddly Cow;Plush;30;25;20;24.99;100;images/cow_re.jpg;images/cow.jpg
Funky Flamingo;Plush;30;22;18;21.99;100;images/flamingo_re.jpg;images/flamingo.jpg
Whiskered Wolf;Plush;28;20;16;22.99;100;images/wolf_re.jpg;images/wolf.jpg